date ,eps,,,,,,Date,Price,Open,High,Low,Vol.,Change %
,,,,,,,01-06-2019,608.07,603.9,620.7,597.93,202.46M,0.76%
,,,,,,,01-05-2019,603.49,578.15,613.36,565.23,280.43M,4.66%
,,,,,,,01-04-2019,576.64,578.58,580.26,555.13,309.10M,-0.06%
,,,,,,,01-03-2019,577,519.11,579.28,515.07,291.34M,11.62%
,,,,,,,01-02-2019,516.95,517.54,536.22,515.87,172.59M,-0.12%
,,,,,,,01-01-2019,517.54,529.41,539.08,503.13,220.18M,-1.97%
,,,,,,,01-12-2018,527.93,530.25,537.31,505.61,189.99M,-0.32%
,,,,,,,01-11-2018,529.61,480.23,531.88,471.77,275.11M,11.34%
,,,,,,,01-10-2018,475.69,500.09,510.64,469.04,330.93M,-4.70%
,,,,,,,01-09-2018,499.16,514.92,517.3,475.31,221.72M,-2.68%
,,,,,,,01-08-2018,512.88,538.16,541.2,512.15,205.67M,-5.43%
,,,,,,,01-07-2018,542.32,524.61,552.39,513.39,204.00M,3.37%
,,,,,,,01-06-2018,524.64,526.52,536.72,499.92,342.76M,-1.45%
,,,,,,,01-05-2018,532.35,485.21,537.46,484.21,158.08M,10.04%
,,,,,,,01-04-2018,483.79,470.4,492.43,462.89,105.28M,3.09%
,,,,,,,01-03-2018,469.31,467.62,472.77,454.98,113.41M,0.10%
,,,,,,,01-02-2018,468.84,499.14,501.38,456.92,110.41M,-6.06%
,,,,,,,01-01-2018,499.07,465.98,501.01,460.45,143.04M,7.12%
,,,,,,,01-12-2017,465.9,461.55,473.54,447.64,118.87M,1.01%
,,,,,,,01-11-2017,461.25,451.64,466.67,444.9,101.84M,2.50%
,,,,,,,01-10-2017,450,449.88,467.69,437.4,134.72M,0.16%
,,,,,,,01-09-2017,449.3,443.16,464.81,432.46,156.23M,1.65%
,,,,,,,01-08-2017,442.03,443.37,450.16,430.75,102.54M,-0.45%
,,,,,,,01-07-2017,444,411.21,447.59,409.32,125.39M,8.01%
,,,,,,,01-06-2017,411.07,407.83,426.98,403.23,93.50M,0.97%
,,,,,,,01-05-2017,407.13,384.93,410.06,378.86,100.30M,5.80%
,,,,,,,01-04-2017,384.81,359.8,391.64,354.59,133.62M,7.21%
,,,,,,,01-03-2017,358.94,347.47,368.25,340.64,144.86M,3.77%
,,,,,,,01-02-2017,345.89,320.04,361.79,318.62,528.21M,8.04%
,,,,,,,01-01-2017,320.15,300.94,323.47,294.39,131.41M,6.67%
,,,,,,,01-12-2016,300.13,299.16,301.58,289.53,93.91M,0.55%
,,,,,,,01-11-2016,298.49,312.52,320.74,288.14,152.15M,-4.28%
,,,,,,,01-10-2016,311.85,318.75,323.49,304.6,79.64M,-1.54%
,,,,,,,01-09-2016,316.72,320.49,328.06,314.86,104.06M,-1.42%
,,,,,,,01-08-2016,321.28,310.78,322.23,302.02,116.94M,3.61%
,,,,,,,01-07-2016,310.09,293.61,311.34,288.86,116.48M,5.93%
,,,,,,,01-06-2016,292.73,294.35,296.56,284.72,117.90M,-0.46%
,,,,,,,01-05-2016,294.09,280.61,297.35,276.98,109.77M,4.38%
,,,,,,,01-04-2016,281.76,265.94,282.84,259.49,99.16M,5.71%
,,,,,,,01-03-2016,266.53,242.59,268.46,241.82,125.39M,10.22%
,,,,,,,01-02-2016,241.82,263.26,265.5,230.91,142.94M,-7.43%
,,,,,,,01-01-2016,261.23,269.33,275.7,250.79,111.51M,-2.98%
,,,,,,,01-12-2015,269.27,268,271.89,258.8,97.69M,0.41%
,,,,,,,01-11-2015,268.17,272.48,273.24,259.03,84.68M,-1.99%
,,,,,,,01-10-2015,273.61,267.54,279.68,263.59,99.73M,2.88%
,,,,,,,01-09-2015,265.94,254.13,267.21,243.1,135.64M,4.02%
,,,,,,,01-08-2015,255.66,276.88,278.06,250.24,114.23M,-7.57%
,,,,,,,01-07-2015,276.61,264.09,280.68,262.27,122.86M,4.17%
,,,,,,,01-06-2015,265.53,261.01,266.74,246.37,147.41M,1.58%
,,,,,,,01-05-2015,261.4,247.35,262.26,234.94,131.08M,6.24%
,,,,,,,01-04-2015,246.04,255.32,263.51,243.61,127.16M,-3.31%
,,,,,,,01-03-2015,254.47,268.82,276.02,249.35,184.02M,-4.53%
,,,,,,,01-02-2015,266.54,265.87,271.97,256.29,142.81M,-0.57%
,,,,,,,01-01-2015,268.07,236.63,273.86,232.96,167.99M,13.21%
,,,,,,,01-12-2014,236.78,238.45,242.34,227.92,134.87M,-0.58%
,,,,,,,01-11-2014,238.16,227.73,240.34,222.2,151.60M,4.97%
,,,,,,,01-10-2014,226.89,215.48,227.58,212.52,126.42M,4.49%
,,,,,,,01-09-2014,217.14,210.48,218.92,208.67,166.56M,3.45%
,,,,,,,01-08-2014,209.9,205.54,212.2,196.92,131.08M,1.15%
,,,,,,,01-07-2014,207.52,204.78,214.16,200.84,159.66M,1.52%
,,,,,,,01-06-2014,204.42,197.44,212.99,197.44,155.57M,3.63%
,,,,,,,01-05-2014,197.26,180.03,212.5,177.03,252.86M,9.91%
,,,,,,,01-04-2014,179.48,186.99,187.5,175.99,156.57M,-3.67%
,,,,,,,01-03-2014,186.32,165.52,189.29,164.85,213.17M,11.83%
,,,,,,,01-02-2014,166.61,156.75,169.92,153.48,98.89M,6.54%
,,,,,,,01-01-2014,156.39,166.22,170.45,155.54,208.19M,-5.61%
,,,,,,,01-12-2013,165.68,164.72,178.51,161.62,277.81M,0.69%
,,,,,,,01-11-2013,164.55,169.6,171.19,153.45,213.86M,-2.86%
,,,,,,,01-10-2013,169.4,149,171.44,146.65,259.63M,14.80%
,,,,,,,01-09-2013,147.57,148.8,171.66,138.61,371.77M,-0.16%
,,,,,,,01-08-2013,147.8,152.75,158.7,131.38,502.07M,-2.58%
,,,,,,,01-07-2013,151.72,166.46,173.69,151.01,278.61M,-8.92%
,,,,,,,01-06-2013,166.59,173.68,174.53,154.27,244.08M,-4.43%
,,,,,,,01-05-2013,174.3,170.3,180.97,166.7,211.19M,2.67%
,,,,,,,01-04-2013,169.77,155.43,174.68,152.63,276.50M,9.11%
,,,,,,,01-03-2013,155.6,155.52,164.22,149.93,290.77M,0.00%
,,,,,,,01-02-2013,155.6,160.44,169.43,154.11,239.22M,-2.75%
,,,,,,,01-01-2013,160.01,169.72,171.69,159.27,230.23M,-5.24%
,,,,,,,01-12-2012,168.85,174.18,174.46,166.65,189.23M,-3.60%
,,,,,,,01-11-2012,175.16,157.44,175.55,156.14,176.49M,11.00%
,,,,,,,01-10-2012,157.81,156.51,160.44,125.67,187.96M,0.80%
,,,,,,,01-09-2012,156.55,148.69,158.97,145.15,221.90M,5.68%
,,,,,,,01-08-2012,148.14,145.7,151.66,143.65,205.75M,1.29%
,,,,,,,01-07-2012,146.25,140.34,147.75,139.34,209.88M,4.29%
,,,,,,,01-06-2012,140.23,125.41,140.56,120.69,247.38M,11.33%
,,,,,,,01-05-2012,125.96,134.54,138.84,119.98,262.50M,-6.69%
,,,,,,,01-04-2012,134.99,128.89,138.84,128.36,188.14M,4.36%
,,,,,,,01-03-2012,129.35,128.64,133,122.67,231.71M,0.53%
,,,,,,,01-02-2012,128.67,123.04,134.34,119.77,303.82M,5.08%
,,,,,,,01-01-2012,122.45,106.72,125.41,104.38,217.45M,15.29%
,,,,,,,01-12-2011,106.21,114.2,117.17,99.59,303.82M,-3.54%
,,,,,,,01-11-2011,110.11,120.71,122.67,102.34,273.12M,-9.69%
,,,,,,,01-10-2011,121.92,114.5,123.67,108.62,317.32M,4.78%
,,,,,,,01-09-2011,116.36,120.43,123.83,109.35,306.50M,-0.91%
,,,,,,,01-08-2011,117.43,122.78,123.41,108.53,278.38M,-3.05%
,,,,,,,01-07-2011,121.13,126.4,129.14,119.71,249.48M,-3.24%
,,,,,,,01-06-2011,125.19,118.94,125.65,113.06,277.71M,4.83%
,,,,,,,01-05-2011,119.41,114.76,119.87,109.87,343.80M,4.53%
,,,,,,,01-04-2011,114.24,117.1,121.48,113.22,303.49M,-2.14%
,,,,,,,01-03-2011,116.74,103.25,119.23,102.47,399.22M,14.31%
,,,,,,,01-02-2011,102.13,103.36,111.63,98.6,345.18M,0.24%
,,,,,,,01-01-2011,101.88,117.94,119.42,99.34,443.36M,-12.75%
