Date,Price,TTM_EPS,P/E_TTM
2017-12-01,465.9,4.31,108.09744779582367
2018-01-01,499.07,4.31,115.79350348027843
2018-02-01,468.84,4.31,108.77958236658934
2018-03-01,469.31,4.31,108.88863109048725
2018-04-01,483.79,4.31,112.24825986078888
2018-05-01,532.35,4.31,123.51508120649653
2018-06-01,524.64,4.31,121.7262180974478
2018-07-01,542.32,4.31,125.82830626450118
2018-08-01,512.88,4.31,118.99767981438517
2018-09-01,499.16,4.31,115.81438515081209
2018-10-01,475.69,4.31,110.36890951276104
2018-11-01,529.61,4.31,122.87935034802786
2018-12-01,527.93,4.31,122.48955916473318
2019-01-01,517.54,4.31,120.07888631090488
2019-02-01,516.95,4.31,119.94199535962879
2019-03-01,577.0,4.31,133.87470997679816
2019-04-01,576.64,4.31,133.79118329466357
2019-05-01,603.49,4.31,140.02088167053367
2019-06-01,608.07,4.31,141.0835266821346
2019-07-01,560.27,4.31,129.99303944315545
2019-08-01,555.61,4.31,128.91183294663574
2019-09-01,612.2,4.31,142.0417633410673
2019-10-01,613.65,3.62,169.51657458563534
2019-11-01,635.89,3.62,175.66022099447514
2019-12-01,634.47,3.62,175.26795580110496
2020-01-01,611.63,3.62,168.9585635359116
2020-02-01,587.36,3.62,162.25414364640883
2020-03-01,429.88,3.62,118.7513812154696
2020-04-01,499.66,3.62,138.02762430939228
2020-05-01,474.64,3.62,131.11602209944752
2020-06-01,531.6,3.62,146.85082872928177
2020-07-01,515.12,3.62,142.29834254143645
2020-08-01,556.54,3.62,153.74033149171268
2020-09-01,537.96,3.62,148.60773480662985
2020-10-01,590.31,2.93,201.4709897610921
2020-11-01,718.64,2.93,245.26962457337882
2020-12-01,716.37,2.93,244.49488054607508
2021-01-01,693.52,1.98,350.26262626262627
2021-02-01,765.3,1.98,386.5151515151515
2021-03-01,744.97,1.98,376.24747474747477
2021-04-01,704.4,1.98,355.75757575757575
2021-05-01,756.04,1.98,381.83838383838383
2021-06-01,747.09,1.98,377.3181818181818
2021-07-01,711.45,0.89,799.3820224719102
2021-08-01,788.74,0.89,886.2247191011236
2021-09-01,795.5,0.89,893.8202247191011
2021-10-01,789.46,1.22,647.0983606557378
2021-11-01,744.92,1.22,610.5901639344262
2021-12-01,737.86,1.22,604.8032786885246
2022-01-01,741.01,1.32,561.3712121212121
2022-02-01,711.36,1.32,538.9090909090909
2022-03-01,733.35,1.32,555.5681818181818
2022-04-01,690.58,1.3699999999999999,504.07299270073
2022-05-01,692.75,1.3699999999999999,505.6569343065694
2022-06-01,672.33,1.3699999999999999,490.7518248175183
2022-07-01,715.32,1.4200000000000002,503.7464788732394
2022-08-01,741.21,1.4200000000000002,521.9788732394366
2022-09-01,708.91,1.4200000000000002,499.2323943661971
2022-10-01,746.49,1.46,511.29452054794524
2022-11-01,802.23,1.46,549.4726027397261
2022-12-01,812.05,1.46,556.1986301369863
2023-01-01,799.76,1.5,533.1733333333333
2023-02-01,797.81,1.5,531.8733333333333
2023-03-01,802.78,1.5,535.1866666666666
2023-04-01,841.71,1.61,522.8012422360248
2023-05-01,803.43,1.61,499.02484472049684
2023-06-01,848.59,1.61,527.0745341614906
2023-07-01,823.55,1.67,493.14371257485027
2023-08-01,783.77,1.67,469.32335329341316
2023-09-01,761.26,1.67,455.8443113772455
2023-10-01,736.42,1.7,433.18823529411765
2023-11-01,777.47,1.7,457.3352941176471
2023-12-01,852.5,1.7,501.47058823529414
2024-01-01,729.46,1.69,431.63313609467457
2024-02-01,699.96,1.69,414.17751479289944
2024-03-01,722.15,1.69,427.3076923076923
2024-04-01,758.16,1.5699999999999998,482.90445859872614
2024-05-01,763.87,1.5699999999999998,486.5414012738854
2024-06-01,839.81,1.5699999999999998,534.9108280254777
2024-07-01,805.87,1.56,516.5833333333334
2024-08-01,816.42,1.56,523.3461538461538
2024-09-01,863.88,1.56,553.7692307692307
2024-10-01,865.7,1.5799999999999998,547.9113924050633
2024-11-01,895.8,1.5799999999999998,566.9620253164558
2024-12-01,884.22,1.5799999999999998,559.6329113924052
2025-01-01,847.27,1.58,536.246835443038
2025-02-01,864.05,1.58,546.8670886075948
2025-03-01,911.83,1.58,577.1075949367089
2025-04-01,960.11,1.57,611.5350318471337
2025-05-01,970.04,1.57,617.8598726114649
2025-06-01,998.27,1.57,635.8407643312102
2025-07-01,1009.1,1.5499999999999998,651.0322580645162
2025-08-01,951.6,1.5499999999999998,613.9354838709678
2025-09-01,951.0,1.5499999999999998,613.5483870967743
